sku,name,erp_sku,erp_name
,,1FSWPSOT6_6FSWPSAK,180cm Sussex Soft White Oval Table with 6 Sussex Dining Armchairs & Black Cushions
,,2FSCMOSBS_1FSCMOST,2 Oxford Sunbeds with Sky Blue Cushions and Oxford Side table
FSCMHDA-sy,Hertford Dining Armchair,,
,,FSCMODAS,Oxford Dining Armchair with Sky Blue Cushions
,,1FSMPSDT7_8FSMPSAB,220cm Sussex Dining Table with 8 Sussex Dining Armchairs - Mocha
PVANPEA60,Vanuatu Peacock Decor - 60cm,,
PVAN0308,Vanuatu Vase - 80cm,,
,,1FSPRKMTSRWB_1FSPRKMCOWB_1FSPRKMTSLWB_1FSPRKQT,Kingston Modular Sofa Set D with Beige Waterproof Cushions
,,1FSPRBRT5_1FSPRBLS70_6FSPRODCS,150cm Bali Round Table with Lazy Susan & 6 Ohio Dining Chairs with Standard Grey Cushions
,,FSCMODAY,Oxford Dining Armchair with Silver Grey Cushions
,,FSPRKMTSRWG,Kingston Modular 2 Seat Right Hand End with Grey Waterproof Cushions
,,FSPRKMTSRWB,Kingston Modular 2 Seat Right Hand End with Beige Waterproof Cushions
PVANPEA,Vanuatu Peacock Decor,,
1FSAODDT6_6FSAOPDA,Devon Dining Table - 180cm with 6 Paddock Dining Armchairs,,
,,FS-PART,All Seasons - Part
,,FSBFELAB,Eton Lounge Armchair
1FSPRKS3_2FSPRKLAW_1FSPRKLCT,Kingston Three Seater Sofa withTwo Kingston Lounge Armchairs and Kingston Large Coffee Table,,
,,1FSPRBLAWG_1FSPRBFWG,Brighton Lounge Armchair & Footrest with Grey Waterproof Cushions
1FSCMOS_2FSCMOLA_1FSCMOCT," Oxford Sofa, 2 Oxford Lounge Armchairs and Oxford Coffee table",,
,,CFSBFWLAWB,Waterproof Beige Cushions - for Windsor Lounge Armchair
,,1FSWPSDT1_4FSWPSSA-4CFSWPSSAL,100cm Sussex Soft White Square Table & 4 Sussex Stackable Armchairs with Lime Green Cushions
PVEN49,Venice Floor Decor - 49cm,,
,,FSWPSFL,Sussex Footrest with Lime Green Cushions
,,FSWPSFK,Sussex Footrest with Black Cushions
,,1FSPRBRT5_1FSPRBLS70_6FSPROAWG,150cm Bali Round Table with Lazy Susan & 6 Ohio Dining Armchairs with Grey Waterproof Cushions
,,FSPROBSWB,Ohio Bar Stool & Waterproof Beige Cushion 
,,FSPROBSWG,Ohio Bar Stool & Waterproof Grey Cushion 
,,1FSPRBRT5_1FSPRBLS70_6FSPROAWB,150cm Bali Round Table with Lazy Susan & 6 Ohio Dining Armchairs with Beige Waterproof Cushions
,,FSWPSSAL,Sussex Stacking Armchair - Soft White with Lime Cushion
,,DELIVERY,Delivery
,,1FSWPSOT9_10FSWPSAL,270cm Sussex Oval Soft White Table with 10 Sussex Dining Armchairs & Lime Green Cushions
,,FSPRKMCHLWB,Kingston Modular Chaise Left Hand with Beige Waterproof Cushions
,,1FSWPSOT9_10FSWPSAK,270cm Sussex Oval Soft White Table with 10 Sussex Dining Armchairs & Black Cushions
,,FSPRKMDCEWG,Kingston Modular Double Centre with Grey Waterproof Cushions
,,1FSPRBOT7_8FSPRBAS,230cm Bali Oval Table with 8 Brighton Dining Armchairs with Standard Grey Cushions
,,FSPRKMDCEWB,Kingston Modular Double Centre with Beige Waterproof Cushions
